link_id,length,link_name,DIR,FROM_NODE,TO_NODE,AB_CAPACIT,BA_CAPACIT,AB_FFT,BA_FFT,toll_ab,toll_ba,ALPHA,BETA,dir_name_ab,dir_name_ba,is_core
24416,0.0842,,0,20773,20140,400,400,0.2295,0.2295,,,1.5,3,北向南,南向北,1
21929,0.0585,,0,20773,20790,400,400,0.1597,0.1597,,,1.5,3,西向东,东向西,1
29530,0.0049,,0,20774,20154,400,400,0.0133,0.0133,,,1.5,3,南向北,北向南,1
21028,0.0667,,0,20774,20775,400,400,0.182,0.182,,,1.5,3,东向西,西向东,1
54173,0.0666,,0,20775,20801,400,400,0.1817,0.1817,,,1.5,3,东向西,西向东,1
21712,0.1694,海燕路,0,20776,20766,400,400,0.462,0.462,,,1.5,3,西向东,东向西,1
21710,0.0871,海景路,0,20776,20777,1200,1200,0.1633,0.1633,,,1.1,3.5,南向北,北向南,1
21030,0.1073,海景路,0,20777,20803,1200,1200,0.2012,0.2012,,,1.1,3.5,南向北,北向南,1
34941,0.0649,,0,20777,20804,400,400,0.177,0.177,,,1.5,3,西向东,东向西,1
49866,0.7393,,0,20778,20779,400,400,2.0163,2.0163,,,1.5,3,南向北,北向南,1
51726,0.0431,,0,20780,20778,400,400,0.1175,0.1175,,,1.5,3,南向北,北向南,1
13994,0.0854,海宁路,0,20781,20726,400,400,0.233,0.233,,,1.5,3,西向东,东向西,1
39409,0.0024,,0,20781,20792,400,400,0.0067,0.0067,,,1.5,3,北向南,南向北,1
17669,0.0658,海景路,0,20782,20783,1200,1200,0.1233,0.1233,,,1.1,3.5,南向北,北向南,1
39272,0.0132,,0,20782,20785,400,400,0.0361,0.0361,,,1.5,3,西向东,东向西,1
54044,0.0659,海景路,0,20783,20770,1200,1200,0.1236,0.1236,,,1.1,3.5,南向北,北向南,1
21932,0.1282,海宁一横路,0,20784,20132,400,400,0.3495,0.3495,,,1.5,3,北向南,南向北,1
39273,0.1777,,0,20785,20786,400,400,0.4846,0.4846,,,1.5,3,西向东,东向西,1
39271,0.0251,,0,20786,20769,400,400,0.0685,0.0685,,,1.5,3,西向东,东向西,1
54040,0.0904,,0,20787,20770,400,400,0.2466,0.2466,,,1.5,3,西向东,东向西,1
21792,0.0449,海宁路,0,20788,20727,400,400,0.1225,0.1225,,,1.5,3,西向东,东向西,1
47462,0.1251,海宁二横路,0,20788,20735,400,400,0.3411,0.3411,,,1.5,3,北向南,南向北,1
17667,0.1042,海宁路,0,20789,20788,400,400,0.2842,0.2842,,,1.5,3,西向东,东向西,1
21930,0.0903,,0,20790,20787,400,400,0.2464,0.2464,,,1.5,3,西向东,东向西,1
21931,0.0477,海宁一横路,0,20790,20791,400,400,0.13,0.13,,,1.5,3,北向南,南向北,1
54042,0.0474,海宁一横路,0,20791,20784,400,400,0.1293,0.1293,,,1.5,3,北向南,南向北,1
39410,0.0298,,0,20792,20731,400,400,0.0812,0.0812,,,1.5,3,北向南,南向北,1
16222,0.1726,海静路,0,20793,20794,1200,1200,0.3236,0.3236,,,1.1,3.5,东向西,西向东,1
20386,0.0181,,0,20793,20796,400,400,0.0494,0.0494,,,1.5,3,北向南,南向北,1
16223,0.0081,海静路,0,20794,20795,400,400,0.0221,0.0221,,,1.5,3,东向西,西向东,1
6967,0.0109,海滨大道南,0,20795,20123,3000,3000,0.0145,0.0145,,,1.1,2.5,东向西,西向东,1
6243,0.0201,海滨大道南,1,20795,20798,3000,3000,0.0268,0.0268,,,1.1,2.5,南向北,,1
22353,0.1536,,0,20796,20772,400,400,0.4188,0.4188,,,1.5,3,北向南,南向北,1
29527,0.0056,,0,20797,20772,400,400,0.0154,0.0154,,,1.5,3,西向东,东向西,1
5929,0.1574,海滨大道南,1,20798,20158,3000,3000,0.2098,0.2098,,,1.1,2.5,南向北,,1
8156,0.1186,海滨大道南,1,20799,20800,3000,3000,0.1582,0.1582,,,1.1,2.5,北向南,,1
6964,0.0196,海滨大道南,1,20800,20123,3000,3000,0.0262,0.0262,,,1.1,2.5,北向南,,1
21029,0.0558,,0,20801,20173,400,400,0.1522,0.1522,,,1.5,3,北向南,南向北,1
54285,0.1859,观海路,0,20802,20766,1200,1200,0.3486,0.3486,,,1.1,3.5,北向南,南向北,1
21031,0.0111,海景路,0,20803,20806,1200,1200,0.0304,0.0304,,,1.5,3,南向北,北向南,1
54171,0.0398,,0,20805,20774,400,400,0.1085,0.1085,,,1.5,3,南向北,北向南,1
54175,0.0111,海景路,0,20806,20152,1200,1200,0.0304,0.0304,,,1.5,3,南向北,北向南,1
5965,0.1199,海滨大道中,-1,20807,20808,3000,3000,0.1599,0.1599,,,1.1,2.5,,南向北,1
6636,0.0717,海滨大道中,-1,20808,20876,3000,3000,0.0957,0.0957,,,1.1,2.5,,南向北,1
6801,0.0589,海滨大道中,1,20809,20877,3000,3000,0.0786,0.0786,,,1.1,2.5,北向南,,1
24694,0.3555,海滨东一路,0,20810,20811,400,400,0.9696,0.9696,,,1.5,3,西向东,东向西,1
24194,0.2363,海滨东一路,0,20810,20911,400,400,0.6446,0.6446,,,1.5,3,东向西,西向东,1
24196,0.0523,,0,20810,20948,400,400,0.1426,0.1426,,,1.5,3,北向南,南向北,1
63553,0.1573,海滨东一路,0,20811,10772,400,400,0.4291,0.4291,,,1.5,3,西向东,东向西,1
24695,0.118,,0,20811,20954,400,400,0.3217,0.3217,,,1.5,3,北向南,南向北,1
31978,0.3116,青春路,0,20812,20813,400,400,0.8497,0.8497,,,1.5,3,南向北,北向南,1
29650,0.0626,健康大道,0,20813,20932,400,400,0.1708,0.1708,,,1.5,3,西向东,东向西,1
63546,0.424,,0,20814,10772,1200,1200,0.795,0.795,,,1.1,3.5,南向北,北向南,1
63545,0.6245,,0,20814,20815,1200,1200,1.171,1.171,,,1.1,3.5,北向南,南向北,1
54291,0.2468,,0,20815,20825,1200,1200,0.4628,0.4628,,,1.1,3.5,东向西,西向东,1
35029,0.2942,翔云路,0,20816,20817,400,400,0.8023,0.8023,,,1.5,3,北向南,南向北,1
29651,0.0669,健康大道,0,20816,20913,400,400,0.1824,0.1824,,,1.5,3,西向东,东向西,1
45235,0.3044,,0,20818,20819,400,400,0.8303,0.8303,,,1.5,3,西向东,东向西,1
45367,0.0222,,0,20818,20916,400,400,0.0607,0.0607,,,1.5,3,北向南,南向北,1
33238,0.0459,,0,20819,20950,400,400,0.1252,0.1252,,,1.5,3,西向东,东向西,1
35120,0.0732,,0,20820,20889,400,400,0.1996,0.1996,,,1.5,3,北向南,南向北,1
79846,0.119,,0,20821,20822,1200,1200,0.2231,0.2231,,,1.1,3.5,西向东,东向西,1
54307,0.2995,,0,20822,20953,1200,1200,0.5616,0.5616,,,1.1,3.5,西向东,东向西,1
79842,0.3362,,0,20823,20824,1200,1200,0.6304,0.6304,,,1.1,3.5,南向北,北向南,1
34928,0.0499,,0,20823,20910,400,400,0.1361,0.1361,,,1.5,3,北向南,南向北,1
79847,0.1668,,0,20824,20821,1200,1200,0.3127,0.3127,,,1.1,3.5,西向东,东向西,1
79845,0.4231,,0,20824,20912,1200,1200,0.7932,0.7932,,,1.1,3.5,南向北,北向南,1
79841,0.2189,,0,20825,20826,1200,1200,0.4105,0.4105,,,1.1,3.5,南向北,北向南,1
79839,0.4363,,0,20825,20827,1200,1200,0.8181,0.8181,,,1.1,3.5,北向南,南向北,1
79840,0.0033,,0,20826,20823,400,400,0.0091,0.0091,,,1.5,3,北向南,南向北,1
21709,0.1696,,0,20827,20136,400,400,0.4625,0.4625,,,1.5,3,北向南,南向北,1
21706,0.1757,海洋路,0,20827,20834,1200,1200,0.3295,0.3295,,,1.1,3.5,东向西,西向东,1
4860,0.2186,海滨大道中,-1,20828,20829,3000,3000,0.2914,0.2914,,,1.1,2.5,,南向北,1
5967,0.0485,海滨大道中,-1,20829,20862,3000,3000,0.0647,0.0647,,,1.1,2.5,,南向北,1
4862,0.2145,海滨大道中,1,20830,20831,3000,3000,0.2861,0.2861,,,1.1,2.5,北向南,,1
5966,0.0901,海滨大道中,1,20831,20848,3000,3000,0.1202,0.1202,,,1.1,2.5,北向南,,1
48858,0.0223,,0,20832,20188,400,400,0.0607,0.0607,,,1.5,3,北向南,南向北,1
17664,0.2295,,0,20832,20833,400,400,0.626,0.626,,,1.5,3,西向东,东向西,1
24731,0.1462,海景路,0,20833,20834,1200,1200,0.2742,0.2742,,,1.1,3.5,南向北,北向南,1
18165,0.178,海洋路,0,20834,20835,1200,1200,0.3338,0.3338,,,1.1,3.5,东向西,西向东,1
50593,0.047,海洋路,0,20835,20855,1200,1200,0.0881,0.0881,,,1.1,3.5,东向西,西向东,1
34932,0.0735,,0,20836,20837,400,400,0.2004,0.2004,,,1.5,3,东向西,西向东,1
34936,0.0394,,0,20836,20888,400,400,0.1075,0.1075,,,1.5,3,西向东,东向西,1
34939,0.1827,,0,20838,20839,400,400,0.4984,0.4984,,,1.5,3,北向南,南向北,1
34940,0.1056,,0,20838,20840,400,400,0.288,0.288,,,1.5,3,西向东,东向西,1
48853,0.0112,,0,20840,20841,400,400,0.0306,0.0306,,,1.5,3,北向南,南向北,1
48854,0.0554,,0,20841,20839,400,400,0.151,0.151,,,1.5,3,东向西,西向东,1
49895,0.0449,,0,20841,20844,400,400,0.1224,0.1224,,,1.5,3,南向北,北向南,1
48856,0.0532,,0,20842,20839,400,400,0.145,0.145,,,1.5,3,西向东,东向西,1
49898,0.1924,,0,20842,20845,400,400,0.5248,0.5248,,,1.5,3,西向东,东向西,1
48857,0.2122,,0,20843,20842,400,400,0.5788,0.5788,,,1.5,3,西向东,东向西,1
49897,0.1361,,0,20844,20845,400,400,0.3713,0.3713,,,1.5,3,北向南,南向北,1
49896,0.0162,,0,20844,20905,400,400,0.0441,0.0441,,,1.5,3,南向北,北向南,1
49899,0.0467,,0,20845,20841,400,400,0.1273,0.1273,,,1.5,3,南向北,北向南,1
50972,0.1405,,0,20846,20125,400,400,0.3831,0.3831,,,1.5,3,北向南,南向北,1
52915,0.0223,,0,20847,20838,400,400,0.0609,0.0609,,,1.5,3,东向西,西向东,1
5115,0.052,海滨大道中,1,20848,20849,3000,3000,0.0694,0.0694,,,1.1,2.5,北向南,,1
50591,0.0137,海滨大道中,0,20849,20855,3000,3000,0.0183,0.0183,,,1.1,2.5,北向南,南向北,1
22348,0.0303,,0,20850,20159,400,400,0.0825,0.0825,,,1.5,3,西向东,东向西,1
6252,0.0432,海滨大道南,1,20850,20851,3000,3000,0.0577,0.0577,,,1.1,2.5,南向北,,1
6255,0.0115,海滨大道南,0,20850,20853,3000,3000,0.0153,0.0153,,,1.1,2.5,东向西,西向东,1
8716,0.0534,海滨大道南,1,20851,20861,3000,3000,0.0712,0.0712,,,1.1,2.5,南向北,,1
6253,0.0423,海滨大道南,1,20852,20853,3000,3000,0.0564,0.0564,,,1.1,2.5,北向南,,1
